time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all
12:25:48,3/19/2023,2,AK,M,M114,,,FUN,,,Gr,NA,No Value,NA,NA,NA,4,2,2,3
12:29:01,3/19/2023,2,AK,M,M114,,,FUN,,,Gr,NA,No Value,NA,NA,NA,4,2,2,3
12:29:22,3/19/2023,1,CC,M,M151,,,M105,,,Gr,NA,No Value,NA,PE,NA,2,2,0,6
12:33:14,3/19/2023,1,CC,Ag,M101,M066,,M146,M105,M006,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value
12:40:11,3/19/2023,2,AK,M,M212,,,M246,,,Gr,NA,No Value,NA,PE,NA,4,0,0,2
12:47:15,3/19/2023,2,AK,M,M212,,,M246,,,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
12:49:35,3/19/2023,2,AK,M,M212,,,M246,,,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
13:01:09,3/19/2023,1,CC,M,M143,,,FUN,,,R,NA,No Value,NA,NA,NA,9,4,2,5
13:15:26,3/19/2023,1,CC,M,M223,,,M116,,,Gr,NA,No Value,Intro,PE,NoEjac,7,NA,NA,NA
13:22:27,3/19/2023,1,CC,M,M030,,,FUN,,,R,NA,No Value,NA,PE,Ejac,3,4,1,5
13:34:00,3/19/2023,1,CC,M,M208,,,M037,,,Gr,NA,No Value,NA,NA,NA,10,NA,NA,NA
7:53:41,3/20/2023,1,CC,Ag,M080,,,JVUN,JVUN,JVUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:15:39,3/20/2023,1,CC,Ag,M027,,,FUN,FUN,FUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:22:09,3/20/2023,1,CC,Ag,M059,,,M014,M042,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:30:23,3/20/2023,1,CC,Ag,JVUN,,,M090,M145,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:41:28,3/20/2023,1,CC,Ag,M030,,,M242,M034,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:41:57,3/20/2023,1,CC,Ag,M011,M141,,M038,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:43:07,3/20/2023,1,CC,Ag,M030,M174,,M205,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:46:29,3/20/2023,1,CC,Ag,M169,FUN,,M088,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:57:36,3/20/2023,2,AK,Ag,M126,,,M182,M103,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:05:59,3/20/2023,2,AK,M,M094,,,FUN,,,Ag,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
9:19:01,3/20/2023,2,AK,Ag,M132,FUN,,M182,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:23:14,3/20/2023,1,CC,Ag,M037,FUN,FUN,M006,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:23:57,3/20/2023,2,AK,M,M001,,,FUN,,,R,NA,No Value,Intro,PE,NA,3,0,0,4
9:26:27,3/20/2023,2,AK,M,M001,,,FUN,,,R,NA,No Value,Intro,PE,Ejac,3,0,0,2
9:27:40,3/20/2023,2,AK,M,M001,,,FUN,,,NA,NA,No Value,Intro,PE,NA,4,0,1,2
10:06:53,3/20/2023,1,CC,Ag,FUN,,,M151,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:08:28,3/20/2023,1,CC,Ag,M188,M150,,M064,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:09:07,3/20/2023,2,AK,Ag,M175,FUN,,M035,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:33:20,3/20/2023,1,CC,M,M140,,,FUN,,,R,NA,No Value,NA,PE,Ejac,6,NA,NA,NA
10:37:25,3/20/2023,1,CC,Ag,M151,,,M034,FUN,FUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:41:27,3/20/2023,1,CC,M,M121,,,FUN,,,R,NA,No Value,Intro,PE,NoEjac,11,2,0,4
10:42:47,3/20/2023,1,CC,M,M121,,,FUN,,,R,NA,No Value,Intro,PE,Ejac,11,2,0,4
10:48:42,3/20/2023,1,CC,Ag,M097,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:53:12,3/20/2023,1,CC,M,M162,,,FUN,,,R,NA,No Value,NA,NA,NA,7,8,2,9
10:54:02,3/20/2023,1,CC,M,M162,,,FUN,,,R,NA,No Value,NA,NA,NA,2,8,2,9
10:56:09,3/20/2023,1,CC,Ag,M162,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
11:08:39,3/20/2023,1,CC,Ag,M162,M030,,FUN,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
12:21:19,3/20/2023,1,CC,Ag,M162,,,M162,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
12:40:24,3/20/2023,1,CC,M,M192,,,M168,,,Gr,NA,No Value,NA,NA,NA,2,3,0,8
12:55:25,3/20/2023,1,CC,M,M011,,,FUN,,,R,NA,No Value,NA,NA,NA,3,3,1,3
12:55:52,3/20/2023,1,CC,M,M011,,,FUN,,,R,NA,No Value,NA,NA,NA,7,3,1,3
